75.246	0.0584029	0.00525	8.98927	286	42
82.159	0.589703	0.006	1.01746	350	48
89.929	0.598471	0.02825	4.72037	988	226
101.842	0.598471	0.02825	4.72037	988	226
107.815	0.598471	0.02825	4.72037	988	226
110.444	0.598471	0.02825	4.72037	988	226
113.542	0.598471	0.02825	4.72037	988	226
117.457	0.598471	0.02825	4.72037	988	226
121.341	0.598471	0.02825	4.72037	988	226
123.022	0.598471	0.02825	4.72037	988	226
126.57	0.598471	0.02825	4.72037	988	226
133.623	0.598471	0.02825	4.72037	988	226
141.974	0.598471	0.02825	4.72037	988	226
144.579	0.598471	0.02825	4.72037	988	226
147.092	0.598471	0.02825	4.72037	988	226
149.195	0.598471	0.02825	4.72037	988	226
157.719	0.598471	0.02825	4.72037	988	226
166.019	0.598471	0.02825	4.72037	988	226
173.181	0.598471	0.02825	4.72037	988	226
181.911	0.598471	0.02825	4.72037	988	226
187.121	0.598471	0.02825	4.72037	988	226
189.391	0.598471	0.02825	4.72037	988	226
192.03	0.598471	0.02825	4.72037	988	226
194.587	0.598471	0.02825	4.72037	988	226
197.469	0.598471	0.02825	4.72037	988	226
201.708	0.598471	0.02825	4.72037	988	226
217.128	1.20411	0.0544997	4.52615	1646	429
221.448	1.20411	0.0604997	5.02444	3161	477
